,TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
675,4301,4,1.85,NA,NA,NA
676,4302,3,0.67,NA,NA,NA
677,4305,3,1.85,1,NA,NA
678,4306,3,1.23,0.2,NA,NA
679,4308,4,2.35,NA,NA,NA
680,4309,3,1.35,NA,NA,NA
681,4310,4,1.94,NA,NA,NA
682,4311,4,1.55,NA,NA,NA
683,4312,3,1.29,NA,NA,NA
684,4313,1,2.17,NA,NA,NA
685,4314,2,1.91,NA,NA,NA
686,4333,1,2.88,NA,NA,NA
687,4334,4,2.36,NA,NA,NA
688,4335,1,2.36,NA,NA,NA
689,4336,4,2.2,NA,NA,NA
690,4349,3,2.17,0.47,0.38,-1.79
691,4351,3,0.52,NA,NA,NA
692,4352,3,0.32,NA,NA,NA
693,4353,2,1.52,0.55,NA,NA
694,4354,3,2,0.94,0.08,-1.92
695,4355,2,1.32,1.02,1.2,-0.12
696,4356,1,2.05,NA,NA,NA
697,4357,3,1.73,NA,NA,NA
698,4358,4,1.94,NA,NA,NA
699,4359,2,1.81,NA,NA,NA
700,4360,1,0.9,0.64,NA,NA
701,4361,4,1.58,0.67,NA,NA
702,4363,2,2.29,1.87,0.91,-1.38
703,4366,4,2.57,NA,NA,NA
704,4370,4,1.58,NA,NA,NA
705,4382,3,2.33,0.82,NA,NA
706,4383,3,3.15,NA,NA,NA
707,4384,1,2.29,NA,NA,NA
708,4385,3,0.82,NA,NA,NA
709,4386,3,1.93,NA,NA,NA
710,4387,4,1.82,NA,NA,NA
711,4388,4,1.96,NA,NA,NA
712,4389,4,1.32,0.64,0.47,-0.85
713,4391,4,1.02,NA,NA,NA
714,4392,4,1.14,NA,NA,NA
715,4393,2,2.32,NA,NA,NA
716,4394,2,2.16,NA,NA,NA
717,4396,4,2.42,1.7,NA,NA
718,4397,4,1.14,NA,NA,NA
719,4398,1,1.55,0.79,1.76,0.21
720,4404,1,1.17,NA,NA,NA
721,4405,4,1,0.58,0.32,-0.68
722,4410,3,1.05,0.11,NA,NA
723,4419,4,1.38,NA,NA,NA
724,4428,4,1.93,2.42,NA,NA
725,4430,2,2.73,NA,NA,NA
726,4435,4,2.02,NA,NA,NA
727,4436,1,2.81,NA,NA,NA
728,4437,4,2.47,NA,NA,NA
729,4439,2,1.35,NA,NA,NA
730,4440,3,2.08,NA,NA,NA
731,4441,3,2.5,NA,NA,NA
732,4442,1,2.45,NA,NA,NA
733,4443,2,2.17,NA,NA,NA
734,4444,4,1.7,0,NA,NA
735,4445,4,0.7,0.23,0.45,-0.25
736,4446,1,1.51,NA,NA,NA
737,4447,2,1.23,NA,NA,NA
738,4448,2,2.14,0.85,NA,NA
739,4452,4,1.14,1.14,NA,NA
740,4453,2,0.96,NA,NA,NA
741,4454,4,1.52,1.14,1.26,-0.26
742,4455,4,0.52,NA,NA,NA
743,4456,2,1.56,NA,NA,NA
744,4459,4,3.29,0.26,NA,NA
745,4464,4,0.45,NA,NA,NA
746,4467,2,2.63,NA,NA,NA
747,4468,3,1.7,NA,NA,NA
748,4470,2,3.11,NA,NA,NA
749,4479,3,1.82,NA,NA,NA
750,4481,1,1.58,0.14,NA,NA
751,4482,4,2.73,NA,NA,NA
752,4485,4,1.5,1.14,NA,NA
753,4486,4,1.78,1.02,NA,NA
754,4488,4,2.02,NA,NA,NA
755,4507,4,0.67,0.94,0.91,0.24
756,4509,3,1.41,0.55,NA,NA
757,4510,2,0.9,NA,NA,NA
758,4511,2,1.23,1.11,0.76,-0.47
759,4512,4,2.7,NA,NA,NA
760,4514,1,1.97,NA,NA,NA
761,4515,3,0.84,NA,NA,NA
762,4516,4,1.79,NA,NA,NA
763,4517,4,2.84,NA,NA,NA
764,4518,3,2.02,NA,NA,NA
765,4519,2,1.64,0.7,NA,NA
766,4525,4,1.08,NA,NA,NA
767,4533,1,2.97,NA,NA,NA
768,4552,3,0.94,NA,NA,NA
769,4553,1,2.97,1.94,NA,NA
770,4554,3,0.97,NA,NA,NA
771,4555,4,1.47,NA,NA,NA
772,4559,2,2.61,NA,NA,NA
773,4563,3,1.73,0.2,0.91,-0.82
774,4564,2,3.38,3.44,3.41,0.0300000000000002
775,4569,4,3.17,1,1.73,-1.44
776,4570,4,2.2,0.91,NA,NA
777,4571,2,2.14,NA,NA,NA
778,4582,1,1.29,1.58,0.81,-0.48
779,4590,2,3.21,2.85,NA,NA
780,4597,4,2.67,NA,NA,NA
781,4598,3,1.85,0.79,NA,NA
782,4601,4,1.35,NA,NA,NA
783,4607,4,2.14,0.76,NA,NA
784,4611,4,1.24,0.56,NA,NA
785,4654,4,2.02,1.78,2.55,0.53
786,4655,4,2.32,NA,NA,NA
787,4663,4,1.08,0.23,NA,NA
788,4666,4,1.14,1.35,1.02,-0.12
789,4690,3,2.14,1.82,NA,NA
790,4692,2,2.88,NA,NA,NA
791,4693,1,1.35,0.17,0.44,-0.91
792,4694,3,1,1.7,NA,NA
793,4695,2,2.02,NA,NA,NA
794,4696,4,0.64,1.32,NA,NA
795,4697,1,0.29,0.14,NA,NA
796,4698,1,1.73,0.94,NA,NA
797,4699,4,1.82,1.52,NA,NA
798,4704,1,2.11,NA,NA,NA
799,4710,4,1.23,NA,NA,NA
800,4711,4,0.64,NA,NA,NA
801,4724,2,2.23,1.41,2.11,-0.12
802,4725,4,2.44,0.32,NA,NA
803,4740,4,1.17,0.58,NA,NA
804,4744,3,0.61,0.44,NA,NA
805,4749,2,0.52,NA,NA,NA
806,4756,4,2.91,0.94,NA,NA
807,4758,1,2.61,1.44,NA,NA
808,4759,4,1.47,NA,NA,NA
809,4760,4,1.28,NA,NA,NA
810,4765,3,1.26,NA,NA,NA
